time_d,T_r000,T_r010
1135.0,19.999982498368677,19.985923871107556
1136.0,19.99998266438437,19.986050944883452
1137.0,19.99998282564217,19.986174803800317
1138.0,19.999982982326728,19.986295557602144
1139.0,19.999983134614286,19.98641331117189
1140.0,19.9999832826731,19.98652816485453
1141.0,19.999983426664084,19.986640214807025
1142.0,19.999983566741278,19.986749553227195
1143.0,19.999983703050884,19.986856268582137
1144.0,19.99998383573361,19.986960445820916
1145.0,19.999983964923633,19.98706216658254
1146.0,19.99998409074942,19.98716150935099
1147.0,19.999984213333843,19.987258549607976
1148.0,19.999984332793577,19.987353359958544
1149.0,19.999984449242234,19.987446010321367
1150.0,19.999984562786373,19.98753656798711
1151.0,19.99998467352985,19.98762509778063
1152.0,19.999984781570518,19.987711662135048
1153.0,19.999984887003553,19.98779632121958
1154.0,19.999984989918904,19.987879133019888
1155.0,19.999985090403797,19.987960153439097
1156.0,19.99998518854086,19.988039436359912
1157.0,19.999985284410375,19.988117033772802
1158.0,19.99998537808812,19.988192995797526
1159.0,19.99998546964807,19.988267370810018
1160.0,19.999985559159875,19.98834020546311
1161.0,19.999985646691577,19.988411544795426
1162.0,19.999985732307568,19.988481432273154
1163.0,19.999985816070375,19.98854990986272
1164.0,19.999985898039107,19.98861701805381
1165.0,19.999985978271816,19.98868279598329
1166.0,19.999986056822905,19.98874728141922
1167.0,19.999986133745914,19.988810510865942
1168.0,19.99998620909115,19.98887251957055
1169.0,19.99998628290795,19.98893334160252
1170.0,19.999986355243028,19.988993009878946
1171.0,19.998495025921358,19.987027306054614
1172.0,19.997024020087053,19.985093850304178
1173.0,19.995561558951756,19.983179688181952
1174.0,19.994104846213826,19.981282936791025
1175.0,19.992652453177676,19.97940288566428
1176.0,19.991203473591202,19.977538998930367
1177.0,19.989757314962155,19.97569078228226
1178.0,19.988313598899833,19.97385776540999
1179.0,19.986872096438344,19.972039498763024
1180.0,19.985432682283353,19.970235551914293
1181.0,19.98399530372468,19.968445511981116
1182.0,19.982559956373784,19.966668982523334
1183.0,19.981126669210987,19.964905583426994
1184.0,19.979695490589954,19.96315494967717
1185.0,19.978266484408287,19.961416730601982
1186.0,19.97683971804402,19.959690589132
1187.0,19.975415264698196,19.957976201050826
1188.0,19.973993194607445,19.956273254622147
1189.0,19.972573578138643,19.95458144956767
1190.0,19.97115648161403,19.95290049713218
1191.0,19.96974196716833,19.951230118905336
1192.0,19.968330092718254,19.9495700468564
1193.0,19.96692091079619,19.94792002261355
1194.0,19.965514470213307,19.94627979699399
1195.0,19.964110812750015,19.944649129912253
1196.0,19.962709977034308,19.943027789652163
1197.0,19.96131199757054,19.94141555252978
1198.0,19.959916903214726,19.939812202777222
1199.0,19.958524720110788,19.938217532026844
1200.0,19.957135469318054,19.936631338981673
1201.0,19.955749169347037,19.935053429365826
1202.0,19.95436583497122,19.933483615164825
1203.0,19.95298547746126,19.931921715056585
1204.0,19.951608105436105,19.93036755346983
1205.0,19.950233725476544,19.928820960632073
1206.0,19.94886234063546,19.927281772345403
1207.0,19.94749395298158,19.92574982991635
1208.0,19.946128561779027,19.92422497952517
1209.0,19.944766164017583,19.92270707248204
1210.0,19.943406755806766,19.92119596463516
1211.0,19.942050330932606,19.919691516628397
1212.0,19.9406968819324,19.91819359331019
1213.0,19.939346400470452,19.916702063685804
1214.0,19.937998876503592,19.915216800899017
1215.0,19.936654299069854,19.913737682000853
1216.0,19.93531265621623,19.912264587760276
1217.0,19.933973934987687,19.910797402491983
1218.0,19.93263812190812,19.909336013992693
1219.0,19.931305202276373,19.90788031353855
1220.0,19.929975161149954,19.906430195501827
1221.0,19.92864798282005,19.90498555728703
1222.0,19.927323651283764,19.90354629940497
1223.0,19.92600214969709,19.90211232521238
1224.0,19.924683461043212,19.900683540777855
1225.0,19.92336756796329,19.89925985494874
1226.0,19.92205445282852,19.897841179118245
1227.0,19.920744097469917,19.89642742706271
1228.0,19.91943648381591,19.895018515103878
1229.0,19.91813159331705,19.893614361752448
1230.0,19.916829407495335,19.89221488784313
1231.0,19.915529907544745,19.89082001630777
1232.0,19.914233074770166,19.889429672205118
1233.0,19.9129388901299,19.88804378255532
1234.0,19.911647334661417,19.886662276318653
1235.0,19.910358389500185,19.885285084406846
1236.0,19.909072035614678,19.883912139469192
1237.0,19.907788253965414,19.882543375912757
1238.0,19.90650702554106,19.881178729813403
1239.0,19.905228331487162,19.879818138976294
1240.0,19.903952152901535,19.87846154270811
1241.0,19.902678470914175,19.877108881845505
1242.0,19.90140726682252,19.87576009873109
1243.0,19.90013852188154,19.8744151371092
1244.0,19.898872217523113,19.873073942112768
1245.0,19.897608335328787,19.8717364602687
1246.0,19.896346856865456,19.870402639309017
1247.0,19.89508776394421,19.86907242831507
1248.0,19.893831038393763,19.8677457774989
1249.0,19.892576662234852,19.866422638317587
1250.0,19.891324617559327,19.865102963300437
1251.0,19.890074886713684,19.863786706176146
1252.0,19.888827452058884,19.86247382163891
1253.0,19.88758229618079,19.86116426551503
1254.0,19.886339401754977,19.859857994557206
1255.0,19.885098751678598,19.858554966560057
1256.0,19.883860328941644,19.8572551402032
1257.0,19.882624116715455,19.85595847514694
1258.0,19.88139009831091,19.854664931882994
1259.0,19.88015825722441,19.85337447181624
1260.0,19.87892857708581,19.852087057147997
1261.0,19.8660791965482,19.844010191302683
1262.0,19.855569046799058,19.83611826874229
1263.0,19.846061319946234,19.82835789207906
1264.0,19.837139770603653,19.820698749251992
1265.0,19.828599882044063,19.813116698875632
1266.0,19.820323203416635,19.80559092669329
1267.0,19.812233726097837,19.798102837451093
1268.0,19.80427932052205,19.790635134190158
1269.0,19.796420863063638,19.783170888709442
1270.0,19.788629523009156,19.77569326659714
1271.0,19.780879782726185,19.768184915239676
1272.0,19.773150322294565,19.760627723936462
1273.0,19.765420994300033,19.75300240604747
1274.0,19.757672092898996,19.745288238835204
1275.0,19.749883741662327,19.737462846090207
1276.0,19.742035934015966,19.72950205013504
1277.0,19.734107062652775,19.721379775666968
1278.0,19.72607394571407,19.713067909955473
1279.0,19.717911252527006,19.70453627902065
1280.0,19.709592201674752,19.69575285245929
1281.0,19.701087543481314,19.68668350295295
1282.0,19.692365408485834,19.67729237619567
1283.0,19.683391421729887,19.66754192626169
1284.0,19.67412879259408,19.65739297762282
1285.0,19.664538541552268,19.646804919951908
1286.0,19.654579048860846,19.63573594525831
1287.0,19.64420602700772,19.62414329107945
1288.0,19.633373947413645,19.611983432342065
1289.0,19.62203458165444,19.59921237576444
1290.0,19.61013838752225,19.585785922715438
1291.0,19.597632331890228,19.57165991821796
1292.0,19.584465856502142,19.556790637394545
1293.0,19.570584526613665,19.541134713570763
1294.0,19.555934850965194,19.52464957662588
1295.0,19.54046215168491,19.50729333172992
1296.0,19.52411223411803,19.4890250897138
1297.0,19.506831594290855,19.469805605561877
1298.0,19.488568353194694,19.449597444882123
1299.0,19.46927129350346,19.428365142253906
1300.0,19.44889107391565,19.406075371974623
1301.0,19.427379480280592,19.38269712340685
1302.0,19.404692698664316,19.35820186553152
1303.0,19.38078735301048,19.332563694766893
1304.0,19.3556228975703,19.305759465013967
1305.0,19.329163688182696,19.277768902450443
1306.0,19.3013770157456,19.248574694557824
1307.0,19.272232700449518,19.218162558973983
1308.0,19.241705199865144,19.186521298600677
1309.0,19.20977264798848,19.153642839592536
1310.0,19.17641767378752,19.119522235533275
1311.0,19.14162940329429,19.084157654904324
1312.0,19.105398293040523,19.04755036489658
1313.0,19.067718118275263,19.009704804916403
1314.0,19.028589958555294,18.970629297487783
1315.0,18.98801865965221,18.930334367522452
1316.0,18.94601171845964,18.888833441269185
1317.0,18.90258399225157,18.846142774793385
1318.0,18.857747495678268,18.80228131127673
1319.0,18.81152419142588,18.757270576990585
1320.0,18.763939911299737,18.711134599147563
1321.0,18.715020977905375,18.663899733627954
1322.0,18.66479753648355,18.61559461952644
1323.0,18.61330345528094,18.566250043554216
1324.0,18.560576146204497,18.515898701416095
1325.0,18.506656075005388,18.46457505663821
1326.0,18.451587870511958,18.412315015539814
1327.0,18.395417799935352,18.35915597817882
1328.0,18.33819377168281,18.305136893223853
1329.0,18.27996003625395,18.250298003366215
1330.0,18.220769365976523,18.19468043550159
1331.0,18.16067337455124,18.138326174564092
1332.0,18.099725410512583,18.081277900234305
1333.0,18.0379830997689,18.023578687870057
1334.0,17.975503366320293,17.965271829281708
1335.0,17.912337965740754,17.906400894383413
1336.0,17.848542179535613,17.847009864172122
1337.0,17.78417294828087,17.78714245776373
1338.0,17.719285491944657,17.726842367272038
1339.0,17.653934026520343,17.66615405379626
1340.0,17.588172294680966,17.605121858463225
1341.0,17.522056225077613,17.543789616100952
1342.0,17.45564088052871,17.482199476246727
1343.0,17.388981105266215,17.420391981787308
1344.0,17.322130750168814,17.358407350954685
1345.0,17.255142205991355,17.29628635396852
1346.0,17.188063411692845,17.23406899394217
1347.0,17.120940767214197,17.171794950747838
1348.0,17.053820311527804,17.109503414430947
1349.0,16.986746891724792,17.04723255632747
1350.0,16.919768696892767,16.98501497102704
1351.0,16.92053579791106,16.98131912957262
1352.0,16.921159055643194,16.977761338778862
1353.0,16.921681529125028,16.97432820185011
1354.0,16.922129488910137,16.971008992552846
1355.0,16.922521339702822,16.96779390660953
1356.0,16.92287018826911,16.964674241260944
1357.0,16.92318535430191,16.96164227610874
1358.0,16.92347345047397,16.95869115784347
1359.0,16.923739134131303,16.955814779321877
1360.0,16.923985664989875,16.953007685318383
1361.0,16.92421530701146,16.950264991169412
1362.0,16.92442961641306,16.94758231088225
1363.0,16.92462965516497,16.944955698028515
1364.0,16.92481613904616,16.942381592163287
1365.0,16.924989548007815,16.939856774013982
1366.0,16.925150203026007,16.937378325924257
1367.0,16.925298321917694,16.934943597959347
1368.0,16.925434057569213,16.932550177524032
1369.0,16.92555752562346,16.930195864116307
1370.0,16.925668822181798,16.92787864540645
1371.0,16.92576803703939,16.925596678383318
1372.0,16.925855261678315,16.92334827116238
1373.0,16.925930593653018,16.921131867609226
1374.0,16.925994139325145,16.918946033095562
1375.0,16.926046015978116,16.916789443397256
1376.0,16.926086351379674,16.914660873279274
1377.0,16.92611528345924,16.91255918704174
1378.0,16.926132960133376,16.91048333044129
1379.0,16.926139537320402,16.908432322624112
1380.0,16.926135178367073,16.906405249623383
1381.0,16.92612005273598,16.904401258502027
1382.0,16.92609433496188,16.902419551687117
1383.0,16.926058203197453,16.90045938239026
1384.0,16.926011838711737,16.898520050041473
1385.0,16.925955424358527,16.896600896650845
1386.0,16.92588914427139,16.89470130289651
1387.0,16.925813182553497,16.892820685389676
1388.0,16.925727723483128,16.890958493557577
1389.0,16.92563295005123,16.889114207080063
1390.0,16.925529043630565,16.887287333489105
1391.0,16.925416184160518,16.885477406182364
1392.0,16.92529454901031,16.88368398224435
1393.0,16.925164313321122,16.881906640991183
1394.0,16.925025649313575,16.88014498190343
1395.0,16.924878726409073,16.878398623658363
1396.0,16.92472371084834,16.876667202479428
1397.0,16.92456076572693,16.874950370966616
1398.0,16.924390050773653,16.873247796979655
1399.0,16.92421172241557,16.87155916261341
1400.0,16.924025933629547,16.869884163210735
1401.0,16.923832833982914,16.868222506571374
1402.0,16.923632569660043,16.86657391201191
1403.0,16.9234252834188,16.86493810978441
1404.0,16.923211114581385,16.863314840308504
1405.0,16.92299019918269,16.861703853550637
1406.0,16.92276266989567,16.860104908461402
1407.0,16.922528656170876,16.85851777243547
1408.0,16.922288284224628,16.856942220801
1409.0,16.922041677127204,16.855378036404865
1410.0,16.92178895490047,16.85382500911653
1411.0,16.921530234532433,16.852282935513433
1412.0,16.92126563002035,16.850751618468234
1413.0,16.92099525252717,16.849230866835008
1414.0,16.92071921038248,16.84772049509262
1415.0,16.920437609174606,16.846220323099253
1416.0,16.920150551843903,16.84473017582279
1417.0,16.919858138705468,16.84324988304454
1418.0,16.919560467543185,16.841779279136997
1419.0,16.919257633691295,16.84031820287811
1420.0,16.918949730081025,16.838866497195287
1421.0,16.918636847323658,16.837424009024083
1422.0,16.918319073746893,16.835990589067446
1423.0,16.91799649551441,16.83456609169881
1424.0,16.917669196614742,16.833150374744285
1425.0,16.91733725900034,16.831743299377543
1426.0,16.917000762582703,16.83034472995538
1427.0,16.91665978533654,16.82895453390025
1428.0,16.91631440332892,16.82757258158283
1429.0,16.915964690784257,16.82619874619008
1430.0,16.91561072014627,16.824832903643003
1431.0,16.915252562112695,16.823474932472486
1432.0,16.91489028570198,16.82212471374122
1433.0,16.914523958297565,16.820782130943307
1434.0,16.914153645684895,16.819447069924085
1435.0,16.91377941212405,16.818119418804006
1436.0,16.913401320366447,16.816799067897996
1437.0,16.913019431722557,16.815485909648068
1438.0,16.912633806075767,16.814179838547766
1439.0,16.912244501960565,16.812880751092912
1440.0,16.91185157656762,16.81158854570895
1441.0,19.965618334815307,17.056420569915836
1442.0,19.999445171477085,17.542365423934623
1443.0,19.999920880953773,18.118061231405093
1444.0,19.999950431563697,18.644536658170562
1445.0,19.999958580265304,19.060022242811307
1446.0,19.999962026555714,19.360631238795136
1447.0,19.999963933416247,19.56739357844357
1448.0,19.999965251727563,19.705703742047245
1449.0,19.999966296531312,19.797006589682624
1450.0,19.999967190158173,19.85704874512002
