time_d,T_r000,T_r010
829.0,19.967417255998953,19.942463873357667
830.0,19.96560803810138,19.94025293199286
831.0,19.96379897902949,19.938063776685283
832.0,19.961990778426355,19.935895728641242
833.0,19.960184029692073,19.93374817989809
834.0,19.958379253044882,19.93162048526932
835.0,19.956576986355344,19.929512107254254
836.0,19.954777581600126,19.92742246329027
837.0,19.952981350977552,19.92535103492321
838.0,19.951188710168026,19.923297305157234
839.0,19.94940005591843,19.92126077364418
840.0,19.947615321814624,19.919240853781673
841.0,19.9458349759675,19.9172372406357
842.0,19.944059112918012,19.91524942132986
843.0,19.942288019277612,19.91327695212584
844.0,19.94052171828571,19.911319494033023
845.0,19.938760375340507,19.909376541983647
846.0,19.93700413465575,19.907447713761314
847.0,19.935253211078134,19.90553264074066
848.0,19.933507628207906,19.903630980856065
849.0,19.931767064340818,19.90174239581546
850.0,19.93003185221312,19.89986658426517
851.0,19.92830208253764,19.898003126562003
852.0,19.926577780376476,19.89615172047047
853.0,19.9248588500883,19.894312157036268
854.0,19.923145383453402,19.89248411012204
855.0,19.921437362774668,19.890667261288968
856.0,19.919734829442632,19.888861338981542
857.0,19.91803774326968,19.887065999119557
858.0,19.91634617848996,19.885280669549275
859.0,19.914660061232382,19.883504760449853
860.0,19.912979465338367,19.881737814511382
861.0,19.911304256896813,19.87998063851228
862.0,19.909634394189197,19.8782330501636
863.0,19.907969987460774,19.876494647930826
864.0,19.90631093652803,19.8747653527181
865.0,19.90465710249532,19.87304495488314
866.0,19.903008572637702,19.87133327700184
867.0,19.901365320325397,19.869629962389183
868.0,19.899727290176145,19.867934948310847
869.0,19.898094486481796,19.866248071054542
870.0,19.896466769453298,19.864568985613005
871.0,19.894844096326096,19.862897682813696
872.0,19.89322658691674,19.86123388079602
873.0,19.891614107989426,19.85957697306668
874.0,19.890006504547614,19.857926919144973
875.0,19.888403873155312,19.856283582936896
876.0,19.88680615337853,19.854647351864003
877.0,19.885213241587962,19.853018048605634
878.0,19.883625175644738,19.851395549459482
879.0,19.88204200781314,19.849779582416147
880.0,19.88046345099889,19.84817013591112
881.0,19.878889510301065,19.846567125394074
882.0,19.87732013716459,19.844970332941443
883.0,19.875755347819677,19.84337979570506
884.0,19.87419514826206,19.841795160551555
885.0,19.87263946158299,19.840216407463515
886.0,19.871088260748877,19.83864344864429
887.0,19.86954149612012,19.837076151115355
888.0,19.867998985748272,19.83551449152992
889.0,19.866459477262083,19.833958322538138
890.0,19.864924080279195,19.832407628986005
891.0,19.863392708364984,19.830862096706028
892.0,19.861865233095557,19.82932181170827
893.0,19.86034187344228,19.827786698785587
894.0,19.858822376195008,19.82625652157816
895.0,19.85730681203131,19.824731315066856
896.0,19.855795196024815,19.82321091144803
897.0,19.854287419418085,19.82169545893288
898.0,19.852783605804177,19.82018455822282
899.0,19.85128350395445,19.818678245932063
900.0,19.849787245613868,19.817176520845464
901.0,19.84122148807853,19.807961187698822
902.0,19.827963567271354,19.799978289124113
903.0,19.817578199256218,19.792107575687282
904.0,19.808375251383836,19.784293431038122
905.0,19.799757013523504,19.77649038006632
906.0,19.79150118687801,19.768651678328126
907.0,19.783416380727942,19.760732500073175
908.0,19.775420869394566,19.752688013464592
909.0,19.767466787042622,19.744472382324773
910.0,19.759391365848387,19.736041831990065
911.0,19.75119280720088,19.727351298609165
912.0,19.742878658450763,19.71834181013253
913.0,19.734331460689873,19.708970503631917
914.0,19.72552123193168,19.69916794175174
915.0,19.716409325904408,19.68888498489656
916.0,19.70688647057574,19.67807618829744
917.0,19.696929962387458,19.66668144065403
918.0,19.68648943750361,19.654644543445784
919.0,19.67550972583831,19.641909852017704
920.0,19.66393396653467,19.62842190174058
921.0,19.651730652316303,19.614125150987775
922.0,19.63880374408393,19.598964818238358
