,temp
918,19.69748878479004
919,19.689773559570312
920,19.68184471130371
921,19.673656463623047
922,19.665172576904297
923,19.65633773803711
924,19.647106170654297
925,19.63742446899414
926,19.627233505249023
927,19.616477966308594
928,19.605091094970703
929,19.593008041381836
930,19.580169677734375
931,19.56650161743164
932,19.551944732666016
933,19.536418914794922
934,19.51987648010254
935,19.50223159790039
936,19.483434677124023
937,19.46341323852539
938,19.442119598388672
939,19.419485092163086
940,19.39546012878418
941,19.369993209838867
942,19.34304428100586
943,19.31456756591797
944,19.28452491760254
945,19.252887725830078
946,19.219633102416992
947,19.184734344482422
948,19.148176193237305
949,19.10995101928711
950,19.070049285888672
951,19.028480529785156
952,18.985244750976562
953,18.94035530090332
954,18.89382553100586
955,18.845680236816406
956,18.79594612121582
957,18.74464988708496
958,18.691831588745117
959,18.637529373168945
960,18.5817813873291
961,18.524639129638672
962,18.46615219116211
963,18.406370162963867
964,18.34535026550293
965,18.283151626586914
966,18.21982765197754
967,18.155445098876953
968,18.090068817138672
969,18.023759841918945
970,17.956579208374023
971,17.88859748840332
972,17.81987953186035
973,17.75048828125
974,17.680500030517578
975,17.609968185424805
976,17.538965225219727
977,17.467552185058594
978,17.395795822143555
979,17.32375717163086
980,17.25149917602539
981,17.1790771484375
982,17.1065616607666
983,17.033994674682617
984,16.961444854736328
985,16.88895606994629
986,16.816587448120117
987,16.744388580322266
988,16.672407150268555
989,16.60068702697754
990,16.60124969482422
991,16.601802825927734
992,16.602344512939453
993,16.602872848510742
994,16.60338020324707
995,16.603872299194336
996,16.604347229003906
997,16.60480308532715
998,16.605239868164062
999,16.605655670166016
1000,16.606054306030273
1001,16.606433868408203
1002,16.606792449951172
1003,16.607133865356445
1004,16.60745620727539
1005,16.607757568359375
1006,16.608041763305664
1007,16.608306884765625
1008,16.608552932739258
1009,16.608787536621094
1010,16.60900115966797
1011,16.609195709228516
1012,16.609376907348633
1013,16.609540939331055
1014,16.609691619873047
1015,16.609821319580078
1016,16.609939575195312
1017,16.610042572021484
1018,16.610126495361328
1019,16.61020278930664
1020,16.61026382446289
1021,16.610307693481445
1022,16.610340118408203
1023,16.6103572845459
1024,16.61036491394043
1025,16.610361099243164
1026,16.61034393310547
1027,16.61031150817871
1028,16.61026954650879
1029,16.61021614074707
1030,16.610151290893555
1031,16.610076904296875
1032,16.609989166259766
1033,16.609893798828125
1034,16.609786987304688
1035,16.609670639038086
1036,16.609542846679688
1037,16.609407424926758
1038,16.609262466430664
1039,16.609107971191406
1040,16.60894775390625
1041,16.608776092529297
1042,16.60859489440918
1043,16.60840606689453
1044,16.608211517333984
1045,16.60800552368164
1046,16.6077938079834
1047,16.607574462890625
1048,16.60734748840332
1049,16.607112884521484
1050,16.606868743896484
1051,16.606618881225586
1052,16.60636329650879
1053,16.606101989746094
1054,16.605831146240234
1055,16.60555076599121
1056,16.605268478393555
1057,16.604976654052734
1058,16.604684829711914
1059,16.604379653930664
1060,16.60407066345215
1061,16.603755950927734
1062,16.603435516357422
1063,16.603113174438477
1064,16.602779388427734
1065,16.60244369506836
1066,16.602102279663086
1067,16.601757049560547
1068,16.601404190063477
1069,16.60104751586914
1070,16.600685119628906
1071,16.600317001342773
1072,16.599943161010742
1073,16.59956932067871
1074,16.59918785095215
1075,16.598804473876953
1076,16.59841537475586
1077,16.598018646240234
1078,16.597620010375977
1079,16.597217559814453
1080,19.901531219482422
1081,19.972431182861328
1082,19.988811492919922
1083,19.99428367614746
1084,19.996503829956055
1085,19.99752426147461
1086,19.99803924560547
1087,19.99832534790039
1088,19.99849510192871
1089,19.99860191345215
1090,19.99867820739746
1091,19.998733520507812
1092,19.998775482177734
1093,19.998811721801758
1094,19.998838424682617
1095,19.998868942260742
1096,19.99889373779297
1097,19.99891471862793
1098,19.99893569946289
1099,19.99895477294922
1100,19.998973846435547
1101,19.998991012573242
1102,19.999008178710938
1103,19.999027252197266
1104,19.999042510986328
1105,19.999055862426758
1106,19.999069213867188
1107,19.999082565307617
1108,19.999095916748047
1109,19.999109268188477
1110,19.999120712280273
1111,19.999134063720703
1112,19.999143600463867
1113,19.999155044555664
1114,19.999164581298828
1115,19.999176025390625
1116,19.99918556213379
1117,19.999195098876953
1118,19.999202728271484
1119,19.99921417236328
1120,19.999221801757812
1121,19.999231338500977
1122,19.99924087524414
1123,19.999248504638672
1124,19.999256134033203
1125,19.999263763427734
1126,19.999271392822266
1127,19.999277114868164
1128,19.999282836914062
1129,19.999290466308594
1130,19.999296188354492
1131,19.99930191040039
1132,19.999309539794922
1133,19.99931526184082
1134,19.99932098388672
1135,19.999324798583984
1136,19.999332427978516
1137,19.999338150024414
1138,19.999343872070312
1139,19.999347686767578
1140,19.999353408813477
1141,19.999357223510742
1142,19.99936294555664
1143,19.99936866760254
1144,19.999370574951172
1145,19.99937629699707
1146,19.999380111694336
1147,19.9993839263916
1148,19.999387741088867
1149,19.999393463134766
1150,19.9993953704834
1151,19.999401092529297
1152,19.999404907226562
1153,19.999408721923828
1154,19.99941062927246
1155,19.999414443969727
1156,19.99941635131836
1157,19.99942398071289
1158,19.99942398071289
1159,19.99942970275879
1160,19.999431610107422
1161,19.999435424804688
1162,19.999439239501953
1163,19.99944305419922
1164,19.99944496154785
1165,19.999448776245117
1166,19.99945068359375
1167,19.999454498291016
1168,19.999454498291016
1169,19.99945831298828
1170,19.998157501220703
1171,19.99681282043457
1172,19.995433807373047
1173,19.994029998779297
1174,19.99260139465332
1175,19.991151809692383
1176,19.989686965942383
1177,19.988203048706055
1178,19.986709594726562
1179,19.985206604003906
1180,19.98369598388672
1181,19.982177734375
1182,19.980653762817383
1183,19.9791259765625
1184,19.977596282958984
1185,19.976064682006836
1186,19.974531173706055
1187,19.972997665405273
1188,19.971466064453125
1189,19.969934463500977
1190,19.968402862548828
1191,19.96687126159668
1192,19.965343475341797
1193,19.963817596435547
1194,19.962295532226562
1195,19.960769653320312
1196,19.959251403808594
1197,19.95773696899414
1198,19.95622444152832
1199,19.954715728759766
1200,19.953210830688477
1201,19.951709747314453
1202,19.95020866394043
1203,19.94871711730957
1204,19.947227478027344
1205,19.945741653442383
1206,19.944255828857422
1207,19.942779541015625
1208,19.94130516052246
1209,19.939836502075195
1210,19.93836784362793
1211,19.936908721923828
1212,19.935449600219727
1213,19.933998107910156
1214,19.932544708251953
1215,19.931102752685547
1216,19.92966079711914
1217,19.928224563598633
1218,19.926788330078125
1219,19.92535972595215
1220,19.923934936523438
1221,19.92251205444336
1222,19.92109489440918
1223,19.919681549072266
1224,19.918272018432617
1225,19.9168643951416
1226,19.915462493896484
1227,19.9140625
1228,19.912670135498047
1229,19.911279678344727
1230,19.909894943237305
1231,19.908512115478516
1232,19.90713119506836
1233,19.905759811401367
1234,19.90438461303711
1235,19.903018951416016
1236,19.901655197143555
1237,19.90029525756836
1238,19.898941040039062
1239,19.897586822509766
1240,19.896236419677734
1241,19.89488983154297
1242,19.893550872802734
1243,19.892210006713867
1244,19.8908748626709
1245,19.889545440673828
1246,19.888216018676758
1247,19.88688850402832
1248,19.88556671142578
1249,19.88425064086914
1250,19.882932662963867
1251,19.881620407104492
1252,19.88031005859375
1253,19.879003524780273
1254,19.87769889831543
1255,19.87639808654785
1256,19.875102996826172
1257,19.87380599975586
1258,19.87251853942871
1259,19.871227264404297
1260,19.8536434173584
1261,19.843107223510742
1262,19.834396362304688
1263,19.8265438079834
1264,19.819181442260742
1265,19.812122344970703
1266,19.805253982543945
